----------------------------------------------------------------------------------------------------
| 10 16  |  1 12  | 14 15  |  8  5  |  2 11  |  9  7  |  3  4  | 17 13  |  6 18  |
| 12  8  | 16 13  |  4 11  |  2  3  | 15  1  | 10 18  | 17  6  |  5 14  |  9  7  |
|  2  3  | 10 18  | 17  7  |  4 12  |  8 13  | 14  5  | 11  1  |  6  9  | 15 16  |
| 15 13  |  3  2  |  1  5  | 14 17  | 18 12  |  8  6  |  9  7  | 11 16  | 10  4  |
|  9 18  |  8 15  |  3 10  | 13 11  | 17  6  |  1 16  | 14  5  |  7  4  |  2 12  |
|  5  4  | 14 11  | 13  8  | 10  6  |  9  7  | 17  2  | 18 16  | 15 12  |  1  3  |
|  1  6  |  7  4  |  2 12  |  9 15  |  5 16  | 11 13  |  8 10  | 18  3  | 17 14  |
| 17 11  |  9  5  | 16  6  |  7 18  | 14 10  |  3  4  | 15 12  |  1  2  | 13  8  |
|  7 14  | 17  6  | 18  9  |  1 16  |  3  4  | 12 15  | 13  2  |  8 10  | 11  5  |
----------------------------------------------------------------------------------------------------
| 18  1  |  5  9  |  7 14  |  6 10  | 16  3  | 13  8  |  2 11  |  4 17  | 12 15  |
| 16  7  | 18  1  | 12  4  | 15  9  | 13  8  |  5  3  | 10 17  |  2 11  | 14  6  |
|  3  9  |  2 17  |  6 13  | 11  7  | 12 18  | 15 10  |  5 14  | 16  8  |  4  1  |
| 13 12  |  6  8  |  9 18  |  3  4  |  7 17  |  2 11  |  1 15  | 14  5  | 16 10  |
|  4  5  | 15  7  | 10 17  | 18  8  |  1  2  | 16 14  | 12 13  |  9  6  |  3 11  |
| 11  2  |  4 10  |  8  1  |  5 13  |  6 14  | 18 17  | 16  3  | 12 15  |  7  9  |
| 14 15  | 13 16  | 11  2  | 12  1  | 10  5  |  6  9  |  4  8  |  3  7  | 18 17  |
|  6 10  | 12  3  |  5 16  | 17 14  | 11 15  |  4  1  |  7  9  | 13 18  |  8  2  |
|  8 17  | 11 14  | 15  3  | 16  2  |  4  9  |  7 12  |  6 18  | 10  1  |  5 13  |
----------------------------------------------------------------------------------------------------
