----------------------------------------------------------------------------------------------------
|  9 13  |  2 10  | 15  6  | 14  8  | 12  7  | 16  1  |  5  4  | 17 18  |  3 11  |
|  3  7  | 14 17  |  2 16  |  6  4  |  9 18  | 12 10  | 13  1  |  8 11  | 15  5  |
| 12  8  | 13  7  | 10  3  |  2 15  |  6 16  | 18  9  | 11 17  |  1  5  |  4 14  |
| 18 15  | 16  9  |  7  5  |  1 11  | 14  4  |  3 13  | 10  8  | 12  6  | 17  2  |
| 10 17  | 18  3  | 13  8  |  7 16  |  5  1  | 14 11  |  6  2  | 15  4  |  9 12  |
| 14  2  |  8  6  | 17  4  | 10 13  | 15 11  |  7  5  | 16 12  |  9  3  | 18  1  |
|  1 11  | 15 12  | 18  9  | 17  5  | 10 13  |  6  4  |  7  3  | 14  2  |  8 16  |
| 16  5  | 11  4  | 14  1  | 18 12  |  8  3  | 17  2  |  9 15  | 13  7  | 10  6  |
|  6  4  |  1  5  | 11 12  |  3  9  |  2 17  | 15  8  | 14 18  | 16 10  |  7 13  |
----------------------------------------------------------------------------------------------------
| 13  1  | 10 18  |  8 11  | 12  6  | 16 15  |  2 14  |  4  9  |  7 17  |  5  3  |
| 11  9  | 12 15  | 16  2  |  8  3  |  7 14  | 10 17  |  1  5  |  4 13  |  6 18  |
|  2 18  |  9 14  |  6 13  | 15  1  |  3 12  | 11  7  | 17 10  |  5  8  | 16  4  |
| 17 10  |  5 11  |  9 18  |  4  7  | 13  2  |  8 12  |  3 16  |  6  1  | 14 15  |
|  8 12  |  3 13  |  1 15  | 16  2  | 17  5  |  4  6  | 18  7  | 10 14  | 11  9  |
|  7  6  | 17  2  | 12 10  | 11 14  |  4  9  |  5  3  | 15 13  | 18 16  |  1  8  |
|  4 16  |  6  8  |  5 14  | 13 17  | 18 10  |  1 15  |  2 11  |  3  9  | 12  7  |
| 15  3  |  7  1  |  4 17  |  5 18  | 11  6  |  9 16  |  8 14  |  2 12  | 13 10  |
|  5 14  |  4 16  |  3  7  |  9 10  |  1  8  | 13 18  | 12  6  | 11 15  |  2 17  |
----------------------------------------------------------------------------------------------------
