----------------------------------------------------------------------------------------------------
| 17 13  |  9  2  | 14 12  | 16 18  |  4  7  | 15  6  | 10  8  |  5  1  | 11  3  |
| 16 15  | 13  4  |  7 10  |  2  6  | 18 11  | 14  1  | 17  5  |  8  3  |  9 12  |
|  3  8  | 17 10  | 13 16  | 11 14  |  5 15  | 18 12  |  9  2  |  7  6  |  1  4  |
|  2 18  |  8  1  |  6 11  |  7 12  | 17 14  |  5  4  | 15  3  | 10  9  | 16 13  |
|  4 12  | 15 16  |  5  1  | 13  9  | 10  3  | 11  7  | 14 18  | 17  2  |  6  8  |
|  6  5  | 18 12  |  3  8  | 17 10  | 13  2  | 16  9  | 11  1  | 15  4  |  7 14  |
| 10  7  |  5  3  | 18 15  |  4  1  |  9 12  |  8 13  |  6 16  | 14 11  |  2 17  |
| 11 14  |  7  6  | 17  9  |  5 15  |  1  8  |  3  2  | 13  4  | 16 12  | 10 18  |
|  1  9  | 14 11  |  2  4  |  3  8  | 16  6  | 10 17  | 12  7  | 13 18  |  5 15  |
----------------------------------------------------------------------------------------------------
| 15 10  |  3 13  |  9  6  | 18  4  |  7 16  |  1 11  |  8 17  |  2 14  | 12  5  |
| 14  2  | 10  7  | 11  3  |  6 13  |  8  1  | 12 18  |  4 15  |  9  5  | 17 16  |
| 13  6  |  4 17  | 10  7  | 15  3  | 14  5  |  2 16  |  1 12  | 11  8  | 18  9  |
| 18 11  |  2 15  |  4  5  | 10  7  |  3  9  |  6 14  | 16 13  | 12 17  |  8  1  |
|  8  4  |  6  9  | 15 13  |  1  2  | 12 17  |  7 10  |  5 14  | 18 16  |  3 11  |
| 12 17  |  1  5  |  8  2  |  9 16  |  6 18  |  4 15  |  7 11  |  3 13  | 14 10  |
|  5 16  | 11 14  |  1 18  | 12 17  | 15 10  |  9  8  |  3  6  |  4  7  | 13  2  |
|  9  1  | 16 18  | 12 14  |  8  5  | 11 13  | 17  3  |  2 10  |  6 15  |  4  7  |
|  7  3  | 12  8  | 16 17  | 14 11  |  2  4  | 13  5  | 18  9  |  1 10  | 15  6  |
----------------------------------------------------------------------------------------------------
