----------------------------------------------------------------------------------------------------
|  8  2  |  5  7  | 10  1  | 13 18  |  6 12  |  9 11  |  4  3  | 14 16  | 15 17  |
|  4  9  |  8 17  | 14  6  |  5 12  | 18  7  | 16  2  | 10  1  |  3 15  | 13 11  |
| 14  7  | 13 11  |  9 12  |  6  8  |  1  5  | 10 17  | 16 15  | 18  4  |  3  2  |
|  3  6  |  1 16  | 11 13  |  2 15  |  4 10  | 12 18  | 17  7  |  8  5  | 14  9  |
| 10 15  |  4 14  |  2  5  |  1  7  | 13  8  |  3  6  | 12 11  |  9 17  | 16 18  |
|  1 13  | 10  3  | 17 16  |  4 14  | 15  2  |  5  7  | 18  9  | 12 11  |  8  6  |
| 16 12  |  6 15  |  4 18  |  9 17  | 11  3  |  1  8  |  5 14  | 13  2  |  7 10  |
| 17  5  | 18 12  |  7 15  |  3 11  |  9 16  | 13 14  |  2  8  | 10  6  |  4  1  |
| 18 11  |  2  9  |  3  8  | 16 10  | 14 17  | 15  4  |  6 13  |  1  7  |  5 12  |
----------------------------------------------------------------------------------------------------
| 13 14  | 17  8  |  6  7  | 15  1  | 10 11  | 18 16  |  9  2  |  5  3  | 12  4  |
|  5 18  | 12 10  | 15  9  | 17 13  |  8 14  |  4  3  |  7  6  |  2  1  | 11 16  |
|  6 16  | 14 13  | 12 17  | 11  4  |  7 18  |  2  9  |  8  5  | 15 10  |  1  3  |
|  2  1  | 16  4  | 13 14  |  7  9  | 17 15  | 11 12  |  3 18  |  6  8  | 10  5  |
|  7 17  | 11  6  |  1  2  | 18 16  |  3 13  | 14  5  | 15 10  |  4 12  |  9  8  |
| 11 10  |  9  1  | 16  3  | 14  6  |  5  4  |  8 15  | 13 12  | 17 18  |  2  7  |
|  9  4  |  7  2  |  5 11  |  8  3  | 12  1  |  6 10  | 14 17  | 16 13  | 18 15  |
| 12  3  | 15 18  |  8  4  | 10  5  |  2  6  |  7 13  |  1 16  | 11  9  | 17 14  |
| 15  8  |  3  5  | 18 10  | 12  2  | 16  9  | 17  1  | 11  4  |  7 14  |  6 13  |
----------------------------------------------------------------------------------------------------
