----------------------------------------------------------------------------------------------------
| 14 15  |  5  2  |  3 12  | 10  9  | 17  6  | 18  7  | 13 16  |  8 11  |  4  1  |
|  3  9  | 18  6  |  7  4  | 16  1  |  2  5  | 17 12  | 14 10  | 15 13  | 11  8  |
|  5  2  | 16 17  |  6 15  |  4 18  |  1  9  |  8 10  |  7 11  |  3 14  | 13 12  |
|  7 11  | 15  8  |  5 13  |  6 14  | 10 18  |  9  1  |  3  4  | 12 16  | 17  2  |
|  8  1  |  7  9  |  2 14  |  5 12  |  4 11  |  6 13  | 17 15  | 10 18  |  3 16  |
| 18 17  |  1 10  | 11  9  |  2  7  | 12 13  | 16  3  |  8  6  |  4  5  | 15 14  |
|  4 10  |  3 11  |  1 18  | 17 13  | 16  8  | 14 15  |  9 12  |  6  2  |  5  7  |
| 12  6  |  4 13  | 17 16  |  8 15  | 14  3  |  2 11  |  1  5  |  9  7  | 10 18  |
| 16 13  | 12 14  | 10  8  |  3 11  |  7 15  |  5  4  |  2 18  |  1 17  |  9  6  |
----------------------------------------------------------------------------------------------------
|  6 12  |  9  1  | 14  2  | 13  5  | 18 16  |  3 17  | 10  7  | 11  4  |  8 15  |
|  9  4  | 17  7  | 13  5  | 11 10  | 15  2  | 12 18  |  6  8  | 14  1  | 16  3  |
| 15 16  |  8 18  | 12  3  | 14  6  |  5  7  | 13  2  | 11  9  | 17 10  |  1  4  |
|  1  3  | 10 12  | 18 17  |  9  8  | 13 14  |  4  5  | 16  2  |  7 15  |  6 11  |
| 10 14  |  2  4  | 16  7  |  1  3  | 11 17  | 15  6  |  5 13  | 18  8  | 12  9  |
| 11 18  | 14 16  |  4  1  |  7 17  |  9 12  | 10  8  | 15  3  | 13  6  |  2  5  |
| 13  8  |  6  5  |  9 10  | 15  2  |  3  4  | 11 14  | 18  1  | 16 12  |  7 17  |
|  2  7  | 11  3  | 15  6  | 18  4  |  8 10  |  1 16  | 12 17  |  5  9  | 14 13  |
| 17  5  | 13 15  |  8 11  | 12 16  |  6  1  |  7  9  |  4 14  |  2  3  | 18 10  |
----------------------------------------------------------------------------------------------------
