----------------------------------------------------------------------------------------------------
| 15  3  |  9 16  | 14  5  |  2  6  |  7 10  | 12  8  | 13 17  | 11 18  |  4  1  |
|  8 10  | 15  6  | 16  2  |  5 11  | 13 12  | 18  3  |  9 14  |  1  4  |  7 17  |
|  1 13  |  8  2  |  6  4  | 14 16  |  9 15  |  7 10  |  5  3  | 17 12  | 18 11  |
|  5  9  | 13 18  |  8 17  |  7 15  |  6  4  | 11  1  | 10 16  |  3  2  | 12 14  |
| 14 11  | 17 12  | 13  9  | 18 10  | 16  8  |  6  2  |  1  4  |  5  7  |  3 15  |
| 12  2  | 10  5  | 11 18  |  9 13  |  1  3  |  4 17  |  7  8  | 14 15  | 16  6  |
| 18  4  |  1 14  | 12  7  |  3 17  |  5  2  | 13 16  | 11 15  | 10  6  |  8  9  |
|  6  7  |  3 11  | 10  1  |  8  4  | 18 17  | 15 14  |  2 12  | 16  9  |  5 13  |
| 17 16  |  7  4  | 15  3  |  1 12  | 11 14  |  9  5  | 18  6  |  8 13  |  2 10  |
----------------------------------------------------------------------------------------------------
| 16 12  | 14 10  |  3  8  | 15  2  |  4 13  | 17  9  |  6 18  |  7 11  |  1  5  |
|  2 17  | 16  8  | 18 11  |  6  9  | 15  5  | 10 13  | 12  7  |  4  1  | 14  3  |
|  3 14  | 11 15  |  1 10  | 17  8  | 12 18  |  5  6  |  4 13  |  2 16  |  9  7  |
|  4  5  |  6  1  | 17 15  | 12  3  |  8 16  |  2  7  | 14 11  |  9 10  | 13 18  |
| 11 15  | 18  3  |  5 16  | 13  1  |  2  7  |  8  4  | 17  9  |  6 14  | 10 12  |
|  7  6  |  5  9  |  2 14  | 11 18  | 17  1  | 16 12  |  8 10  | 13  3  | 15  4  |
| 13  8  | 12  7  |  9  6  |  4 14  | 10 11  |  1 18  |  3  2  | 15  5  | 17 16  |
|  9  1  |  2 13  |  4 12  | 10  7  |  3  6  | 14 15  | 16  5  | 18 17  | 11  8  |
| 10 18  |  4 17  |  7 13  | 16  5  | 14  9  |  3 11  | 15  1  | 12  8  |  6  2  |
----------------------------------------------------------------------------------------------------
