----------------------------------------------------------------------------------------------------
| 10  6  | 11 12  | 18  1  |  7  2  | 15 14  | 17  4  |  3 16  |  8 13  |  5  9  |
| 17 11  | 10 16  |  2  7  |  3  4  |  8  9  | 15  5  | 14 12  |  6  1  | 13 18  |
| 16  5  |  2  8  | 14  6  | 17 13  |  7  4  |  3 12  |  9  1  | 10 18  | 15 11  |
|  8  3  |  9  1  | 11 12  |  5 14  | 13 16  |  7  2  |  4 18  | 15 17  | 10  6  |
|  7  4  |  6  3  | 13 10  | 11 12  | 18  2  | 16 14  | 15  8  |  9  5  |  1 17  |
| 13  9  | 17  4  |  3 15  | 10 16  | 11  5  | 18  1  |  2  6  | 12 14  |  8  7  |
|  1 15  | 13 18  | 16 17  |  6  8  |  3 12  |  9 11  |  5 10  |  4  7  | 14  2  |
| 14 12  | 15  7  |  8  5  | 18  9  | 17  1  | 10  6  | 11 13  | 16  2  |  4  3  |
| 18  2  |  5 14  |  4  9  | 15  1  | 10  6  |  8 13  | 17  7  | 11  3  | 16 12  |
----------------------------------------------------------------------------------------------------
|  6 18  |  7  2  |  9 11  | 14  5  | 16 13  |  1 17  | 10  4  |  3  8  | 12 15  |
|  9 16  | 18  6  | 17  4  |  2  3  |  1 10  | 11 15  |  8 14  | 13 12  |  7  5  |
|  4  1  | 16 11  |  5 18  | 13 15  |  2  8  |  6  9  | 12 17  |  7 10  |  3 14  |
| 15  7  |  4 17  | 12 13  |  8 11  |  6  3  |  2 10  | 16  5  | 14  9  | 18  1  |
| 12 10  |  1  9  |  7  2  | 16 18  |  5 11  | 14  3  | 13 15  | 17  4  |  6  8  |
| 11 17  |  8 15  |  1  3  |  4 10  | 14 18  | 12 16  |  7  2  |  5  6  |  9 13  |
|  3 14  | 12  5  |  6  8  |  1 17  |  4 15  | 13  7  | 18  9  |  2 16  | 11 10  |
|  5  8  |  3 13  | 10 14  |  9  7  | 12 17  |  4 18  |  6 11  |  1 15  |  2 16  |
|  2 13  | 14 10  | 15 16  | 12  6  |  9  7  |  5  8  |  1  3  | 18 11  | 17  4  |
----------------------------------------------------------------------------------------------------
