----------------------------------------------------------------------------------------------------
| 18 15  |  6  1  | 13  9  | 10 11  | 14  2  |  7  4  | 17  5  |  8 12  |  3 16  |
|  2  8  | 15  7  |  3 16  | 13 12  |  6  9  | 10  1  | 14 18  |  5  4  | 11 17  |
| 12  5  | 18  8  |  2  4  |  9 15  |  3 11  | 14  6  | 10 16  | 17  7  |  1 13  |
| 11  1  |  5 10  | 15  6  |  4  2  | 13 16  |  8 17  |  7 12  | 14  3  | 18  9  |
| 16 14  | 11  2  |  8 18  |  6  3  | 15 17  |  5 12  |  1 13  | 10  9  |  7  4  |
|  6 13  | 12  4  | 11 10  |  5 17  |  1  7  | 16  3  |  8  9  | 15 18  | 14  2  |
|  9 10  | 13 16  |  7 17  | 14  1  | 12  4  | 15 18  |  3  6  | 11  2  |  8  5  |
|  4  3  | 14 17  | 12  5  |  7 18  |  8 10  |  9 13  | 11  2  |  1 16  |  6 15  |
|  7 17  |  3  9  | 14  1  | 16  8  |  5 18  | 11  2  |  4 15  | 13  6  | 12 10  |
----------------------------------------------------------------------------------------------------
| 15  2  |  1 14  |  6 12  |  8 13  | 16  5  | 18 11  |  9 10  |  7 17  |  4  3  |
|  5 12  | 10  3  |  1  7  | 15 14  | 11  8  | 17 16  |  6  4  |  2 13  |  9 18  |
|  1  4  | 17 15  |  5 14  | 12 10  |  9  6  |  2  7  | 16  3  | 18  8  | 13 11  |
| 14 18  |  4  5  | 16  8  |  2  9  | 10 12  |  3 15  | 13 11  |  6  1  | 17  7  |
| 13 16  |  2 12  | 17 15  | 18  4  |  7  3  |  6  8  |  5  1  |  9 11  | 10 14  |
|  3 11  | 16 18  | 10  2  |  1  6  | 17 14  | 13  9  | 12  7  |  4  5  | 15  8  |
| 10  6  |  7 11  |  9  3  | 17 16  |  2 13  |  4 14  | 18  8  | 12 15  |  5  1  |
| 17  9  |  8 13  |  4 11  |  3  7  | 18  1  | 12  5  | 15 14  | 16 10  |  2  6  |
|  8  7  |  9  6  | 18 13  | 11  5  |  4 15  |  1 10  |  2 17  |  3 14  | 16 12  |
----------------------------------------------------------------------------------------------------
