----------------------------------------------------------------------------------------------------
| 18  8  |  6  2  |  4 17  | 15  3  |  9  1  | 14 16  |  5 13  |  7 10  | 12 11  |
|  4 14  |  8  5  | 12 16  | 13 17  | 10 15  |  1  2  | 18  6  |  3 11  |  9  7  |
| 11 10  | 17 13  |  8  3  |  4  9  |  5 14  | 18 15  |  1  7  |  2 12  |  6 16  |
|  1 17  |  4 12  |  2  6  | 16 10  | 13  3  |  9  7  |  8 11  | 18  5  | 15 14  |
| 12  3  | 14  1  | 11 13  |  7  8  | 17  4  |  5  6  | 16  2  |  9 15  | 18 10  |
|  6  5  | 11  3  | 14  7  |  2 12  | 16 18  | 17 10  |  9 15  |  1  8  |  4 13  |
|  2 13  | 16 18  | 15  9  |  6 14  |  7  8  |  3 11  | 10 12  |  4 17  |  1  5  |
|  7 16  |  9 15  |  5 10  |  1 18  | 12 11  |  8  4  |  3 14  | 13  6  |  2 17  |
|  9 15  | 10  7  |  1 18  | 11  5  |  6  2  | 13 12  | 17  4  | 14 16  |  3  8  |
----------------------------------------------------------------------------------------------------
| 16  9  |  3  6  |  7 14  | 17 13  | 15 12  | 11  8  |  4 18  | 10  2  |  5  1  |
| 17  2  |  7 14  | 18  8  | 12  1  |  4 16  | 15 13  |  6 10  |  5  3  | 11  9  |
|  3  4  | 18  9  | 16 11  |  8  7  |  2 17  | 12  5  | 13  1  |  6 14  | 10 15  |
|  5 12  |  2 11  |  6  4  | 10 16  |  1 13  |  7  3  | 14  8  | 15  9  | 17 18  |
|  8  6  |  5  4  | 10  1  |  3 11  | 14  7  | 16  9  | 15 17  | 12 18  | 13  2  |
| 10  1  | 12 16  | 13  2  | 14 15  |  3  9  |  4 18  | 11  5  | 17  7  |  8  6  |
| 14  7  | 13  8  |  3 15  |  5  4  | 18 10  |  6 17  |  2  9  | 11  1  | 16 12  |
| 13 18  | 15 10  | 17 12  |  9  6  | 11  5  |  2  1  |  7 16  |  8  4  | 14  3  |
| 15 11  |  1 17  |  9  5  | 18  2  |  8  6  | 10 14  | 12  3  | 16 13  |  7  4  |
----------------------------------------------------------------------------------------------------
