----------------------------------------------------------------------------------------------------
| 13  1  |  3  5  | 12  8  |  6 10  | 15 18  |  2 14  |  9  4  | 11 16  | 17  7  |
|  2  8  | 13  9  |  7 15  |  4 11  |  3 17  | 10 18  |  1  5  | 14 12  | 16  6  |
|  9  7  |  8  2  | 16 17  |  5 13  | 11  1  |  4 15  | 18 10  |  6  3  | 14 12  |
| 18 10  | 15 11  |  2  1  |  8 12  |  5  9  | 16 17  | 14  6  |  4  7  |  3 13  |
| 11  4  | 10  7  |  9  6  |  2 17  |  8 14  |  5  3  | 16 12  | 18 13  |  1 15  |
| 14 12  | 18  4  |  3  5  |  7  9  |  6 16  | 11 13  | 15  2  | 17  1  | 10  8  |
|  6 16  | 12 17  | 13  4  | 15 14  |  7  2  |  9  1  | 11  3  | 10  8  | 18  5  |
| 15  3  | 16 14  | 10 11  |  1 18  | 13 12  |  6  8  | 17  7  |  5  9  |  4  2  |
| 17  5  |  6  1  | 14 18  |  3 16  |  4 10  | 12  7  |  8 13  |  2 15  | 11  9  |
----------------------------------------------------------------------------------------------------
| 12 11  |  5 18  |  1  2  | 17  6  | 16 15  | 13  9  |  7 14  |  3 10  |  8  4  |
| 10 15  |  7  3  |  5 12  | 16  4  | 17 11  |  8  6  | 13 18  |  1  2  |  9 14  |
|  5 18  |  9 15  | 17 16  | 12  1  | 10  3  |  7  2  |  4  8  | 13 14  |  6 11  |
|  7  6  | 11 13  | 15  3  |  9  5  | 12  8  | 14  4  | 10  1  | 16 18  |  2 17  |
|  1  2  |  4 10  | 18  7  | 11 15  | 14  6  |  3 12  |  5  9  |  8 17  | 13 16  |
|  3 14  |  1 12  |  4  9  | 18  8  |  2 13  | 15 16  |  6 17  |  7 11  |  5 10  |
|  8 13  |  2  6  | 11 10  | 14  3  | 18  7  | 17  5  | 12 16  |  9  4  | 15  1  |
| 16  9  | 17  8  |  6 14  | 13  7  |  1  4  | 18 10  |  2 11  | 15  5  | 12  3  |
|  4 17  | 14 16  |  8 13  | 10  2  |  9  5  |  1 11  |  3 15  | 12  6  |  7 18  |
----------------------------------------------------------------------------------------------------
