----------------------------------------------------------------------------------------------------
|  5 13  |  4  1  | 15  9  | 18  6  | 12 11  |  2 10  |  3 17  |  7 14  |  8 16  |
| 17  2  |  5 16  |  1  3  | 15  7  | 13  9  | 12  6  | 11 10  |  8  4  | 14 18  |
| 10  9  | 13  2  | 14 18  |  3  1  |  8 17  | 11  4  |  5 16  | 15  6  |  7 12  |
|  8  3  | 17 12  |  2  4  | 10 16  |  5  7  | 13 18  |  6 14  | 11  1  | 15  9  |
| 12  6  |  8 10  | 16 13  |  2 17  |  1  3  |  5 14  | 15  7  |  9 18  | 11  4  |
|  1 18  | 15  6  | 17 12  | 14 11  | 10 16  |  7  9  |  8  4  |  5  2  | 13  3  |
| 16 14  | 18  7  | 11  6  | 13  9  |  2  4  | 15  8  | 12  1  | 10  3  |  5 17  |
|  4 11  |  9 14  | 10  7  |  5  8  | 15  6  |  3 16  | 13 18  | 12 17  |  1  2  |
| 15  7  |  3 11  |  8  5  | 12  4  | 18 14  |  1 17  |  9  2  | 16 13  | 10  6  |
----------------------------------------------------------------------------------------------------
| 18 10  | 16  4  |  3 14  |  1 15  | 11 13  | 17  5  |  7 12  |  2  9  |  6  8  |
|  7 16  |  6  8  | 13 11  |  9 12  |  4  2  | 14  1  | 18 15  | 17 10  |  3  5  |
| 11 17  | 14 15  |  4  1  |  6  5  |  3 12  | 18  2  | 16  8  | 13  7  |  9 10  |
|  2  1  | 10 18  |  5 15  | 11 13  | 16  8  |  6  7  | 17  9  |  3 12  |  4 14  |
|  6  5  | 11  9  |  7 17  | 16 10  | 14  1  |  8 12  |  2  3  |  4 15  | 18 13  |
|  3  4  |  1  5  | 12 10  |  7  2  | 17 15  |  9 13  | 14  6  | 18  8  | 16 11  |
| 14 12  |  2  3  |  9  8  |  4 18  |  7  5  | 10 11  |  1 13  |  6 16  | 17 15  |
|  9  8  |  7 13  | 18  2  | 17  3  |  6 10  | 16 15  |  4 11  | 14  5  | 12  1  |
| 13 15  | 12 17  |  6 16  |  8 14  |  9 18  |  4  3  | 10  5  |  1 11  |  2  7  |
----------------------------------------------------------------------------------------------------
