----------------------------------------------------------------------------------------------------
| 12 18  | 16  1  | 15  8  |  2  3  | 13 17  |  6  7  | 11  4  |  9  5  | 14 10  |
|  4 15  |  2  9  | 16 14  | 18  6  |  5 11  |  8 13  |  7 17  |  3 10  | 12  1  |
| 16  8  | 15 11  | 17 10  |  1 14  | 18  9  | 12  5  | 13  6  |  7  4  |  3  2  |
|  9 14  | 12  6  |  7  5  | 16  8  | 10  2  |  1 15  | 18  3  | 17 13  |  4 11  |
|  3 13  |  8 10  | 12  1  | 15  9  | 16 14  | 18  4  |  5  2  | 11  6  |  7 17  |
|  1  2  |  3 14  | 18 13  | 12 11  |  4  7  | 17  9  |  8 10  | 16 15  |  5  6  |
|  7  5  |  4 18  |  9  6  | 10 17  | 15 12  | 11  3  |  1 14  |  8  2  | 13 16  |
| 11 17  | 13  5  |  2  3  |  7  4  |  8  6  | 14 10  |  9 16  |  1 12  | 15 18  |
| 10  6  |  7 17  |  4 11  |  5 13  |  1  3  |  2 16  | 15 12  | 18 14  |  8  9  |
----------------------------------------------------------------------------------------------------
| 14  4  |  9  2  |  6 16  |  8  5  | 11 10  |  3 12  | 17 13  | 15  1  | 18  7  |
|  5  3  |  1 16  | 13  2  |  6 15  | 14 18  |  4 17  | 12  7  | 10  9  | 11  8  |
|  2 10  | 14 13  | 11  9  |  4 18  |  7  5  | 15  1  |  3  8  |  6 16  | 17 12  |
| 15  7  |  6  4  | 14 18  | 13  1  |  3  8  | 16 11  | 10  9  | 12 17  |  2  5  |
|  6 16  | 11  3  |  5  7  | 14 12  | 17  1  |  9  8  |  4 15  |  2 18  | 10 13  |
| 17 12  | 10 15  |  8  4  |  3 16  |  6 13  |  7 18  |  2  1  |  5 11  |  9 14  |
| 13  1  |  5 12  |  3 17  | 11  7  |  9 15  | 10  2  | 16 18  | 14  8  |  6  4  |
|  8  9  | 18  7  |  1 12  | 17 10  |  2  4  |  5 14  |  6 11  | 13  3  | 16 15  |
| 18 11  | 17  8  | 10 15  |  9  2  | 12 16  | 13  6  | 14  5  |  4  7  |  1  3  |
----------------------------------------------------------------------------------------------------
