----------------------------------------------------------------------------------------------------
|  3 10  | 16  8  |  5 17  | 18 12  | 15  6  |  7  2  | 13  4  |  1 14  | 11  9  |
| 18 12  |  3 10  | 11 15  | 16  9  |  4  2  |  1 13  |  7  6  | 17  5  | 14  8  |
| 14  7  |  2  1  | 16  8  |  3 10  | 12  9  | 17  5  | 11 15  |  6 13  |  4 18  |
|  6  5  | 18 12  | 14  9  | 15  2  | 10 17  |  4 11  | 16  3  |  8  7  | 13  1  |
| 13  9  | 11  5  | 10 12  |  8  4  |  1 14  | 15 16  |  2 17  |  3 18  |  7  6  |
| 11 15  |  9 14  | 18  3  |  5  7  | 13  8  | 10  6  | 12  1  |  4 16  | 17  2  |
|  2 17  | 13  7  |  1  4  | 14  6  | 16  3  | 12  8  | 10 18  | 11  9  |  5 15  |
|  4  1  | 17  6  |  2  7  | 11 13  | 18  5  |  9  3  |  8 14  | 10 15  | 16 12  |
| 16  8  | 15  4  |  6 13  |  1 17  | 11  7  | 18 14  |  5  9  | 12  2  |  3 10  |
----------------------------------------------------------------------------------------------------
|  9  3  |  8  2  | 15  5  |  7 14  | 17 13  | 16  4  |  6 10  | 18 12  |  1 11  |
| 17 18  |  1 15  |  7 11  |  6 16  |  2 10  |  5  9  | 14  8  | 13  3  | 12  4  |
|  5 14  |  7 17  |  9 16  | 10  8  |  6  1  | 13 18  |  4 12  | 15 11  |  2  3  |
|  1  6  | 12 16  |  8 10  |  9 11  |  3 15  |  2  7  | 17 13  | 14  4  | 18  5  |
| 10 13  |  6  9  | 17  1  |  4  3  | 14 16  | 11 12  | 18  2  |  5  8  | 15  7  |
|  8  2  |  4 13  |  3  6  | 17 18  |  5 12  | 14 10  | 15 11  |  7  1  |  9 16  |
| 12  4  | 10 11  | 13 14  |  2 15  |  7 18  |  3  1  |  9  5  | 16  6  |  8 17  |
|  7 11  |  5 18  | 12  2  | 13  1  |  8  4  |  6 15  |  3 16  |  9 17  | 10 14  |
| 15 16  | 14  3  |  4 18  | 12  5  |  9 11  |  8 17  |  1  7  |  2 10  |  6 13  |
----------------------------------------------------------------------------------------------------
