----------------------------------------------------------------------------------------------------
|  9 15  | 14 18  |  4  3  |  7 10  | 17 12  |  2  8  | 11 16  | 13  5  |  6  1  |
| 17 13  |  9  3  |  5 14  | 12  6  | 11 18  |  1 15  |  2  7  | 16 10  |  8  4  |
| 18  2  | 17 15  |  9 12  |  3  1  | 16  6  | 11 14  |  8  5  |  7  4  | 10 13  |
|  6 10  | 13  5  | 17  1  | 16  4  |  3  7  | 12  9  | 14 18  |  2  8  | 15 11  |
| 14 12  |  6 16  |  8  7  | 17  9  | 15  5  |  3  4  | 13 10  | 11  1  |  2 18  |
| 11  3  |  1  8  | 16 18  | 14  2  |  9 10  | 17 13  |  4 12  | 15  6  |  7  5  |
|  5  7  | 10 12  | 15  2  |  8 11  |  4 13  |  6 18  |  3  1  | 17 14  | 16  9  |
| 16  1  |  2  4  |  6 11  | 13  5  | 14  8  |  7 10  |  9 15  |  3 18  | 17 12  |
|  8  4  | 11  7  | 13 10  | 18 15  |  1  2  |  5 16  |  6 17  | 12  9  | 14  3  |
----------------------------------------------------------------------------------------------------
|  1 16  |  4 14  | 12 13  | 11  3  |  5 15  |  9  2  | 17  6  | 10  7  | 18  8  |
| 12  8  |  5  1  | 18  4  | 10 14  |  2  9  | 15  3  |  7 11  |  6 16  | 13 17  |
| 15 11  |  8 10  |  2  6  |  4 12  |  7 17  | 18  5  | 16  9  |  1 13  |  3 14  |
|  4 18  |  7  9  | 10  8  |  6 13  | 12 11  | 16  1  | 15  3  | 14 17  |  5  2  |
| 10 17  | 15 13  | 14  5  |  1  8  | 18 16  |  4  7  | 12  2  |  9  3  | 11  6  |
|  7  5  | 18  6  |  1 15  |  9 17  | 13  3  |  8 11  | 10 14  |  4  2  | 12 16  |
|  3 14  | 16 17  |  7  9  |  2 18  |  6  4  | 10 12  |  5 13  |  8 11  |  1 15  |
| 13  6  |  3  2  | 11 16  | 15  7  |  8  1  | 14 17  | 18  4  |  5 12  |  9 10  |
|  2  9  | 12 11  |  3 17  |  5 16  | 10 14  | 13  6  |  1  8  | 18 15  |  4  7  |
----------------------------------------------------------------------------------------------------
