----------------------------------------------------------------------------------------------------
| 14 10  | 16  3  | 13  6  | 11  1  |  2 12  | 15 17  |  8  5  | 18  4  |  9  7  |
| 17 13  |  5 10  |  3 15  | 14  9  | 11  7  | 12  2  | 18  1  |  6  8  |  4 16  |
| 18  8  | 11  6  |  1 17  |  5 10  | 14  9  |  4 13  |  2 15  |  7 16  | 12  3  |
| 15  9  | 17  2  | 10  4  |  3 12  |  1 13  | 14  7  |  6 16  |  5 11  | 18  8  |
| 12 16  |  1 13  |  2  5  | 17  4  | 10  3  | 18  8  |  7 11  | 15  9  |  6 14  |
|  2  5  | 12  8  | 16  7  |  6 15  |  4 18  | 11  9  | 14 13  |  1  3  | 17 10  |
|  3  1  | 15 18  | 11  9  | 13  7  |  8 17  | 16  6  |  4 12  | 14 10  |  5  2  |
|  7 11  | 14  4  | 12  8  |  2 18  |  6 16  |  5 10  |  9  3  | 13 17  | 15  1  |
|  6  4  |  9  7  | 14 18  | 16  8  |  5 15  |  3  1  | 17 10  |  2 12  | 11 13  |
----------------------------------------------------------------------------------------------------
|  8  2  |  6 15  |  5 10  |  1 11  |  9  4  | 17 18  | 16  7  |  3 13  | 14 12  |
|  4 17  |  8  1  | 15 16  |  7  5  | 12  2  |  9  3  | 10 14  | 11 18  | 13  6  |
|  5  3  |  7 12  | 18 13  | 15  2  | 17 10  |  6 14  | 11  8  |  4  1  | 16  9  |
| 16  7  |  3 11  | 17  1  | 18  6  | 15  5  |  2 12  | 13  9  | 10 14  |  8  4  |
| 13 12  |  2 17  |  7  3  |  4 16  | 18 14  |  8 11  |  1  6  |  9  5  | 10 15  |
| 10 18  |  4 16  |  6 11  |  9 14  |  7  1  | 13 15  | 12 17  |  8  2  |  3  5  |
|  9 14  | 13  5  |  4  2  | 10 17  |  3  8  |  7 16  | 15 18  | 12  6  |  1 11  |
| 11 15  | 10 14  |  9 12  |  8 13  | 16  6  |  1  5  |  3  4  | 17  7  |  2 18  |
|  1  6  | 18  9  |  8 14  | 12  3  | 13 11  | 10  4  |  5  2  | 16 15  |  7 17  |
----------------------------------------------------------------------------------------------------
