----------------------------------------------------------------------------------------------------
| 18 10  |  4  3  |  7  6  | 15  9  |  1 13  | 16  5  | 11 17  | 14 12  |  2  8  |
| 16 11  | 14 13  | 12  2  |  6  7  | 15  3  |  4 10  |  8 18  | 17  5  |  1  9  |
|  1  2  |  6  5  | 11  4  | 17  8  | 18 16  |  7 15  | 10 13  |  3  9  | 14 12  |
| 12  4  | 18  8  | 13  5  |  1 10  |  2  6  | 11 14  | 15  9  |  7 16  | 17  3  |
|  7  9  |  2 10  | 18  1  |  4  3  | 11  8  |  6 17  | 14 12  | 15 13  | 16  5  |
|  6  3  | 12 11  | 16  8  | 18  5  | 14 17  | 13  9  |  1  2  | 10  4  | 15  7  |
| 15 14  |  9 16  | 10 17  | 11 12  |  7  4  |  8  3  |  5  6  |  1  2  | 13 18  |
|  5  8  | 15 17  |  3 14  | 16 13  | 12  9  |  2  1  |  7  4  | 11 18  | 10  6  |
| 17 13  |  1  7  | 15  9  | 14  2  | 10  5  | 12 18  | 16  3  |  6  8  |  4 11  |
----------------------------------------------------------------------------------------------------
|  4 17  | 10  6  |  2  3  |  7 18  | 16 14  | 15  8  | 13  5  | 12 11  |  9  1  |
|  9  5  |  3  2  |  1 12  | 13  6  | 17 11  | 14  4  | 18  8  | 16 15  |  7 10  |
| 10  6  |  5 14  |  9 16  | 12 15  | 13  7  | 18 11  |  2  1  |  4  3  |  8 17  |
|  3 18  | 17 12  |  5 15  |  9  4  |  8  2  | 10  7  |  6 16  | 13  1  | 11 14  |
| 11 16  |  7  4  |  6 18  |  3 14  |  5  1  |  9  2  | 17 15  |  8 10  | 12 13  |
| 13  1  | 11 15  |  4  7  |  8 17  |  9 18  |  5  6  | 12 10  |  2 14  |  3 16  |
| 14 15  | 16  1  |  8 13  |  2 11  |  6 10  |  3 12  |  9  7  | 18 17  |  5  4  |
|  2  7  |  8  9  | 17 11  | 10 16  |  4 12  |  1 13  |  3 14  |  5  6  | 18 15  |
|  8 12  | 13 18  | 14 10  |  5  1  |  3 15  | 17 16  |  4 11  |  9  7  |  6  2  |
----------------------------------------------------------------------------------------------------
