----------------------------------------------------------------------------------------------------
| 15 14  | 16  6  | 13  7  |  9 12  |  3  2  |  1 17  | 11  8  |  4  5  | 18 10  |
|  7 13  |  9 15  | 17 11  |  5 10  | 12 16  |  3 18  |  2  1  |  6 14  |  8  4  |
|  5  6  | 14 13  | 12 15  | 17  4  | 10 18  | 11 16  |  9  7  |  1  8  |  2  3  |
| 17  8  |  5 10  | 14  6  | 13 15  |  9 11  | 12  7  | 18  4  |  2  3  |  1 16  |
| 12  2  |  7  4  |  5  9  | 14 11  |  8  1  | 10 15  |  3 16  | 18 17  |  6 13  |
| 11 10  |  8  3  |  4  2  |  1 18  | 17 15  |  9 14  | 12  6  | 13 16  |  7  5  |
| 16  3  | 17 18  |  8  1  |  6  7  | 14  5  |  4  2  | 15 13  |  9 10  | 12 11  |
|  1  4  |  2 12  | 10 18  | 16  3  | 13  7  |  6  8  | 17  5  | 15 11  |  9 14  |
| 18  9  | 11  1  | 16  3  |  8  2  |  4  6  |  5 13  | 14 10  |  7 12  | 17 15  |
----------------------------------------------------------------------------------------------------
|  3 17  |  1 16  | 18 13  | 15  5  |  2 10  | 14 12  |  8  9  | 11  7  |  4  6  |
|  6 16  |  4 17  |  3 10  | 12  9  |  5  8  |  2  1  |  7 11  | 14 15  | 13 18  |
| 14 12  | 13  8  | 11 16  |  4 17  |  1  3  |  7 10  |  6  2  |  5 18  | 15  9  |
|  8  7  | 12 14  |  9  4  | 10 13  | 16 17  | 15  6  |  5 18  |  3  2  | 11  1  |
|  2  1  |  3 11  |  6 17  |  7 16  | 15 13  | 18  9  | 10 14  | 12  4  |  5  8  |
|  4 11  | 15  2  |  1 14  |  3  6  | 18 12  |  8  5  | 13 17  | 10  9  | 16  7  |
| 10 15  | 18  5  |  7 12  | 11  8  |  6  9  | 13  4  | 16  3  | 17  1  | 14  2  |
|  9  5  |  6  7  |  2  8  | 18 14  | 11  4  | 17  3  |  1 15  | 16 13  | 10 12  |
| 13 18  | 10  9  | 15  5  |  2  1  |  7 14  | 16 11  |  4 12  |  8  6  |  3 17  |
----------------------------------------------------------------------------------------------------
