----------------------------------------------------------------------------------------------------
|  8  6  |  7 16  | 12 15  |  1  9  | 13  5  | 17 11  |  3  4  | 18 14  |  2 10  |
|  9  2  |  8  3  | 14 11  |  7  5  |  1 18  | 12 10  |  6 15  | 13 17  | 16  4  |
|  3  4  | 10 18  | 16  1  | 12 15  | 14 17  |  5  6  | 13  7  | 11  2  |  8  9  |
| 12 13  |  2 11  | 10  7  | 18 17  | 15  9  |  1  8  |  5 14  |  4 16  |  6  3  |
|  5 16  |  9 14  |  6 18  | 10  2  | 12  3  |  4 15  |  8 11  |  1  7  | 13 17  |
| 15  7  |  4  6  |  3  9  |  8 14  | 16 10  | 13 18  | 17  2  |  5 12  | 11  1  |
| 18 17  | 15  5  |  8  4  |  3 13  | 11  6  | 14  2  |  1 16  | 10  9  |  7 12  |
| 10 14  | 17  1  |  2 13  | 11  6  |  8  4  | 16  7  | 12  9  | 15  3  |  5 18  |
|  1 11  | 13 12  |  5 17  |  4 16  |  2  7  |  3  9  | 18 10  |  8  6  | 15 14  |
----------------------------------------------------------------------------------------------------
|  4  3  |  5 10  | 11 12  | 14  1  | 18  8  |  9 16  |  7  6  |  2 15  | 17 13  |
| 11  9  |  6 17  |  7  8  |  5  3  | 10 12  | 18 14  |  2 13  | 16  1  |  4 15  |
| 16  8  | 11 13  |  9 10  | 17  7  |  4 15  |  6  5  | 14  1  |  3 18  | 12  2  |
|  6 12  |  3  9  |  4  5  |  2 18  |  7  1  | 15 13  | 11 17  | 14  8  | 10 16  |
| 13 18  | 16  2  | 17  3  | 15 11  |  5 14  | 10 12  |  9  8  |  7  4  |  1  6  |
|  2  5  |  1  8  | 13 14  |  9 12  |  6 16  |  7  4  | 15 18  | 17 10  |  3 11  |
| 14 15  | 18  4  |  1  6  | 13 10  |  3  2  |  8 17  | 16  5  | 12 11  |  9  7  |
| 17  1  | 14  7  | 15  2  | 16  4  |  9 13  | 11  3  | 10 12  |  6  5  | 18  8  |
|  7 10  | 12 15  | 18 16  |  6  8  | 17 11  |  2  1  |  4  3  |  9 13  | 14  5  |
----------------------------------------------------------------------------------------------------
