----------------------------------------------------------------------------------------------------
|  6  2  | 10  3  | 13  4  |  1  8  |  7 16  |  9  5  | 12 15  | 14 17  | 18 11  |
|  1  9  |  2 11  |  6 14  |  7  3  |  8 18  |  4 10  |  5 16  | 15 12  | 17 13  |
| 17 11  |  9 18  |  2 16  | 13  6  |  3 15  |  8 14  |  7  4  |  1 10  | 12  5  |
|  8  5  | 17  1  | 11  9  | 16 12  | 13  6  |  7 15  | 14  2  |  4 18  | 10  3  |
| 13 15  |  6  7  | 10  8  |  9 14  |  4 17  | 16 12  | 11 18  |  5  3  |  1  2  |
| 16 14  |  8  5  |  1 15  | 10  2  |  9 12  | 13 18  | 17  3  |  7 11  |  4  6  |
| 10 18  | 13 12  | 17  5  | 11  4  |  1 14  |  6  3  |  9  8  | 16  2  |  7 15  |
|  7 12  |  4 15  |  3 18  | 17  5  | 10 11  |  1  2  |  6 13  |  9  8  | 14 16  |
|  3  4  | 16 14  | 12  7  | 15 18  |  5  2  | 17 11  | 10  1  | 13  6  |  9  8  |
----------------------------------------------------------------------------------------------------
| 15  8  |  3 16  |  9 10  |  2  1  | 12  4  | 11  7  | 13  6  | 17 14  |  5 18  |
|  2  3  | 15  4  |  7 11  |  5 16  | 18  1  | 12  6  |  8 14  | 10  9  | 13 17  |
|  9  1  |  5  6  | 15  2  |  8 10  | 11 13  | 18 16  |  4 17  | 12  7  |  3 14  |
| 12 10  | 11 13  |  5 17  |  6 15  |  2  8  | 14  4  | 18  7  |  3  1  | 16  9  |
| 11  7  | 12  8  | 16  1  |  3 13  | 14  9  |  2 17  | 15 10  | 18  5  |  6  4  |
| 18 13  | 14  9  |  4  6  | 12 11  | 17  7  |  3  1  | 16  5  |  2 15  |  8 10  |
|  4 16  | 18 10  |  8  3  | 14 17  |  6  5  | 15  9  |  1 12  | 11 13  |  2  7  |
| 14 17  |  1  2  | 18 13  |  4  7  | 15 10  |  5  8  |  3  9  |  6 16  | 11 12  |
|  5  6  |  7 17  | 14 12  | 18  9  | 16  3  | 10 13  |  2 11  |  8  4  | 15  1  |
----------------------------------------------------------------------------------------------------
