----------------------------------------------------------------------------------------------------
| 17  7  |  3  6  | 18  4  |  9  2  | 11 16  |  5 10  | 12 13  | 14  1  | 15  8  |
|  4 16  |  1 10  |  5 14  | 18 11  | 17 12  |  6  2  |  7 15  |  8  3  | 13  9  |
|  5 15  |  9 13  | 16  8  |  4  3  | 18  2  | 11 14  |  1  6  | 12  7  | 10 17  |
|  6 18  |  5  4  | 10 11  |  8 16  |  7  3  | 12  9  | 14 17  | 15 13  |  1  2  |
|  1 14  | 15  8  |  6 13  |  5 10  |  9  4  |  7 17  | 11  3  | 16  2  | 12 18  |
| 11 10  | 17 12  |  9  2  | 13  6  |  8 14  | 15  1  |  5 16  | 18  4  |  7  3  |
| 12  2  | 11 16  | 15  7  |  1 17  |  5 13  |  4  3  |  8 18  |  9 10  | 14  6  |
|  3  9  | 18 14  |  1 17  |  7 12  | 10 15  |  8 13  |  4  2  | 11  6  | 16  5  |
|  8 13  |  2  7  | 12  3  | 15 14  |  6  1  | 18 16  | 10  9  |  5 17  | 11  4  |
----------------------------------------------------------------------------------------------------
|  9  8  | 16  2  |  7 18  | 14  5  |  1 17  | 13  4  | 15 12  |  3 11  |  6 10  |
|  2 17  |  4  5  | 14  6  | 12 18  |  3 10  |  9 15  | 13 11  |  1 16  |  8  7  |
| 14  1  |  7 17  |  2  5  | 11 15  | 16  6  |  3 18  |  9  8  | 10 12  |  4 13  |
| 10 12  |  6 15  |  4 16  |  3  7  |  2  9  | 17  8  | 18  1  | 13 14  |  5 11  |
| 13  6  | 14  1  | 17  9  |  2  4  | 15  8  | 16 11  |  3 10  |  7  5  | 18 12  |
| 16 11  | 10  9  |  8  1  |  6 13  |  4  7  | 14 12  | 17  5  |  2 18  |  3 15  |
|  7  4  |  8  3  | 11 12  | 17  9  | 13 18  | 10  5  | 16 14  |  6 15  |  2  1  |
| 18  3  | 12 11  | 13 15  | 10  8  | 14  5  |  1  6  |  2  7  |  4  9  | 17 16  |
| 15  5  | 13 18  |  3 10  | 16  1  | 12 11  |  2  7  |  6  4  | 17  8  |  9 14  |
----------------------------------------------------------------------------------------------------
