----------------------------------------------------------------------------------------------------
| 15  7  | 12  4  |  8  5  |  1 17  |  2 18  | 14  3  | 16  6  | 10  9  | 11 13  |
|  9  5  |  8 11  |  3 13  |  6 12  |  1  7  | 16 17  | 15 14  | 18  2  | 10  4  |
| 10 16  |  6  2  | 18 11  | 15 14  |  8  9  |  7  4  | 13  1  |  3 17  | 12  5  |
| 11 18  |  5 15  |  1  2  |  8  3  |  6 17  | 10  9  |  7  4  | 12 13  | 16 14  |
| 14  3  | 10  7  | 16 15  |  5 11  | 13  4  |  1  2  | 17 12  |  6  8  | 18  9  |
| 12 17  |  3 18  | 10  9  | 13  7  | 15 14  |  8 11  |  2  5  |  4 16  |  6  1  |
|  6  8  | 14 17  |  7  4  | 10 16  |  3  5  | 13 12  |  9 18  |  1 11  |  2 15  |
|  2  1  | 16 13  |  6 14  |  4  9  | 10 12  | 15 18  |  8 11  |  7  5  | 17  3  |
|  4 13  |  9  1  | 12 17  |  2 18  | 11 16  |  6  5  |  3 10  | 15 14  |  8  7  |
----------------------------------------------------------------------------------------------------
| 18 12  |  4  6  | 11  3  | 17 13  | 16  8  |  2  7  | 14  9  |  5  1  | 15 10  |
|  5 14  | 13 12  | 17 16  |  7 10  | 18  3  |  4  8  | 11 15  |  9  6  |  1  2  |
| 16  2  | 17  8  | 15 10  | 18  4  |  9 11  |  3 13  |  1  7  | 14 12  |  5  6  |
|  1  9  |  2 16  |  5 12  |  3 15  |  4 13  | 11 14  |  6  8  | 17 10  |  7 18  |
|  8  4  | 11 14  | 13  1  | 12  5  | 17  6  | 18 15  | 10  3  |  2  7  |  9 16  |
|  3 10  | 15  9  |  4  7  | 14  8  | 12  1  | 17  6  |  5  2  | 16 18  | 13 11  |
|  7  6  |  1  3  | 14 18  | 11  2  |  5 10  |  9 16  | 12 17  | 13 15  |  4  8  |
| 13 11  | 18  5  |  2  6  |  9  1  |  7 15  | 12 10  |  4 16  |  8  3  | 14 17  |
| 17 15  |  7 10  |  9  8  | 16  6  | 14  2  |  5  1  | 18 13  | 11  4  |  3 12  |
----------------------------------------------------------------------------------------------------
