----------------------------------------------------------------------------------------------------
| 18  9  | 17 13  |  2  6  |  4 12  |  1 11  |  5 10  |  7 15  | 14  8  | 16  3  |
| 16 11  | 12 14  | 10 13  |  5  3  |  4  7  |  1  6  | 18  2  | 15  9  | 17  8  |
|  3 12  | 18  1  | 16  9  | 13 11  | 17  8  | 14  4  | 10  6  |  7  5  | 15  2  |
|  5  2  | 15  7  |  4 18  | 14  8  | 13  9  | 17 11  |  1  3  | 10 16  | 12  6  |
| 15 14  | 16  3  |  5  1  | 10  2  | 18 12  |  9  7  |  4  8  | 17  6  | 13 11  |
| 10  4  |  9 11  | 14 12  | 16  7  |  3  6  | 15  8  |  5 17  | 13  2  | 18  1  |
|  6  7  |  5  4  | 17  8  | 15  1  | 10  2  |  3 13  | 12 16  | 18 11  |  9 14  |
|  8 13  |  2  6  |  7  3  | 18 17  | 14 15  | 12 16  | 11  9  |  1  4  | 10  5  |
|  1 17  |  8 10  | 15 11  |  6  9  | 16  5  |  2 18  | 13 14  |  3 12  |  4  7  |
----------------------------------------------------------------------------------------------------
|  2 10  |  4 12  | 18  5  |  8 15  |  7 17  |  6  3  | 14 11  |  9 13  |  1 16  |
| 13 15  |  7  9  |  8 16  | 12 18  |  5  4  | 11 14  |  6 10  |  2  1  |  3 17  |
|  4 16  |  6  2  |  1 10  |  3  5  | 15 14  |  7 12  |  9 13  | 11 17  |  8 18  |
|  7  1  | 14 15  | 12  4  |  9 13  |  2  3  |  8 17  | 16  5  |  6 18  | 11 10  |
| 17  3  | 10 16  | 11 15  |  2 14  |  6 13  | 18  1  |  8 12  |  4  7  |  5  9  |
| 11  5  | 13 18  |  9  2  |  7  6  | 12 16  | 10 15  | 17  1  |  8  3  | 14  4  |
|  9  6  | 11 17  | 13  7  |  1  4  |  8 10  | 16  5  |  3 18  | 12 14  |  2 15  |
| 14 18  |  3  8  |  6 17  | 11 16  |  9  1  | 13  2  | 15  4  |  5 10  |  7 12  |
| 12  8  |  1  5  |  3 14  | 17 10  | 11 18  |  4  9  |  2  7  | 16 15  |  6 13  |
----------------------------------------------------------------------------------------------------
