----------------------------------------------------------------------------------------------------
| 18  6  |  5 12  | 10  4  | 17  1  |  2 14  |  7  8  |  3 13  | 16  9  | 11 15  |
|  8  5  | 15 11  |  7  6  | 10  2  | 13  4  | 18  3  |  9 17  | 14 12  | 16  1  |
| 13  2  |  7 10  |  5 17  |  4 15  |  1  8  |  6 14  | 18 16  |  3 11  | 12  9  |
|  3  1  |  6 13  | 16 12  |  5 14  | 10 17  |  4  9  | 11  7  | 18 15  |  8  2  |
| 16  7  | 17 18  | 11 15  | 12  6  |  9  5  | 10 13  | 14  8  |  1  2  |  3  4  |
|  4 17  |  1  8  | 18  2  | 11  9  |  3  7  |  5 16  | 12 15  | 13 10  | 14  6  |
|  9 10  | 16  4  |  1 14  |  3 13  |  6 12  | 15 11  |  5  2  |  7  8  | 18 17  |
| 12 11  |  9 14  | 13  3  |  8 18  | 15 16  |  1  2  | 10  4  |  6 17  |  7  5  |
| 15 14  |  2  3  |  8  9  |  7 16  | 11 18  | 12 17  |  6  1  |  5  4  | 10 13  |
----------------------------------------------------------------------------------------------------
| 10 12  | 18  7  | 17  5  |  9  4  | 14  1  | 16 15  | 13 11  |  2  3  |  6  8  |
|  6 16  | 11  5  |  9  7  | 14 17  | 12  2  |  3  1  | 15 10  |  8 13  |  4 18  |
|  7  3  |  4  1  |  2 11  |  6  5  | 17 10  | 14 12  |  8  9  | 15 18  | 13 16  |
| 11 18  |  3  6  | 15  1  |  2 10  |  7 13  |  8  4  | 16 14  |  9  5  | 17 12  |
| 17 15  |  8 16  |  6 18  | 13  7  |  5 11  |  2 10  |  4  3  | 12  1  |  9 14  |
|  1  8  | 14 17  | 12 16  | 18 11  |  4  9  | 13  5  |  2  6  | 10  7  | 15  3  |
| 14 13  | 10 15  |  3  8  |  1 12  | 18  6  |  9  7  | 17  5  |  4 16  |  2 11  |
|  5  9  | 12  2  |  4 13  | 15  8  | 16  3  | 17  6  |  7 18  | 11 14  |  1 10  |
|  2  4  | 13  9  | 14 10  | 16  3  |  8 15  | 11 18  |  1 12  | 17  6  |  5  7  |
----------------------------------------------------------------------------------------------------
