----------------------------------------------------------------------------------------------------
|  8 16  |  9  7  | 17 13  |  2  5  | 14 18  |  3 15  | 12 10  |  1  6  |  4 11  |
|  9  7  |  8  5  |  2 10  |  3  4  | 16  6  | 13 14  | 15 17  | 11 12  |  1 18  |
| 13 17  |  2  6  | 14 15  |  7 12  |  9  8  | 16  4  |  1 11  |  3 18  | 10  5  |
| 12  1  | 15 13  |  9  7  | 16  8  |  5  2  | 18 11  |  4  3  | 17 10  | 14  6  |
| 10 15  | 17 16  |  3  5  | 13 14  |  1 11  | 12  6  | 18  2  |  7  4  |  8  9  |
| 14 18  | 11  1  | 16  6  |  9 17  | 13  4  |  2 10  |  5  7  | 15  8  |  3 12  |
|  3  6  | 14 10  |  1  4  | 11 18  | 17 12  |  5  8  | 13 16  |  2  9  | 15  7  |
|  2 11  | 18  4  |  8 12  | 10 15  |  7  3  |  1  9  |  6 14  | 13  5  | 17 16  |
|  4  5  | 12  3  | 11 18  |  6  1  | 10 15  | 17  7  |  9  8  | 14 16  | 13  2  |
----------------------------------------------------------------------------------------------------
| 18 14  | 10 15  |  5  3  |  4  2  | 11 16  |  7 17  |  8  9  | 12 13  |  6  1  |
|  7  3  | 13  8  | 15 14  | 12 10  |  2  1  | 11 18  | 16  6  |  9 17  |  5  4  |
| 11  8  |  6 18  | 12  9  | 15  7  |  4 10  | 14 16  | 17  1  |  5  3  |  2 13  |
|  6  4  |  3 11  | 13  8  |  5 16  | 18 17  |  9  1  | 14 12  | 10  2  |  7 15  |
|  1 12  |  4 17  | 10  2  |  8  3  | 15  5  |  6 13  |  7 18  | 16 11  |  9 14  |
| 16  2  |  7 12  |  6 11  | 17  9  |  3 14  | 15  5  | 10 13  |  4  1  | 18  8  |
| 15 13  |  1 14  |  4 17  | 18 11  | 12  9  |  8  2  |  3  5  |  6  7  | 16 10  |
| 17 10  |  5  9  |  7 16  |  1  6  |  8 13  |  4 12  |  2 15  | 18 14  | 11  3  |
|  5  9  | 16  2  | 18  1  | 14 13  |  6  7  | 10  3  | 11  4  |  8 15  | 12 17  |
----------------------------------------------------------------------------------------------------
