----------------------------------------------------------------------------------------------------
| 14  3  |  1  7  | 17 18  |  5  9  |  2  6  | 12  4  |  8 15  | 16 10  | 13 11  |
|  7  9  |  5  3  |  4 10  | 12 18  | 11 14  | 16 13  |  1  2  |  8 15  | 17  6  |
| 18 16  |  9 10  |  3 13  |  8 15  | 17 12  |  6 14  | 11  4  |  2  7  |  5  1  |
| 10 12  | 18  2  |  5 14  |  3 17  | 16  4  | 11  1  |  7 13  |  9  6  | 15  8  |
|  6  2  | 14 12  |  9 11  | 10  1  | 15  8  | 17  5  | 18  3  | 13  4  |  7 16  |
| 11  8  |  6 17  | 15  1  | 13 14  | 18  9  | 10  7  | 12 16  |  5  3  |  4  2  |
| 15  5  |  8 11  | 12  2  | 16  4  | 13  7  | 18  9  |  6 14  |  1 17  |  3 10  |
|  4 13  | 16 15  |  6  7  |  2 11  | 10  1  |  3  8  |  5 17  | 12 14  | 18  9  |
| 17  1  |  4 13  |  8 16  |  6  7  |  5  3  |  2 15  |  9 10  | 11 18  | 12 14  |
----------------------------------------------------------------------------------------------------
| 12 15  |  2  5  |  7  8  |  9 10  |  1 13  | 14 11  |  3 18  |  4 16  |  6 17  |
|  3 18  | 15 14  |  1  4  | 11 16  |  9  2  |  5  6  | 10 12  | 17 13  |  8  7  |
|  5 10  | 12  6  |  2  3  | 17  8  |  7 15  |  4 18  | 16  9  | 14 11  |  1 13  |
|  2 11  |  3  4  | 13  9  | 14 12  |  8 18  |  7 10  | 17  5  |  6  1  | 16 15  |
|  1  6  | 11 16  | 18 15  |  4  2  | 14 10  |  8 17  | 13  7  |  3  5  |  9 12  |
|  9 14  |  7  8  | 11 12  | 15  5  |  6 17  | 13 16  |  4  1  | 18  2  | 10  3  |
|  8  7  | 10  1  | 14 17  | 18 13  |  4 16  |  9  3  |  2  6  | 15 12  | 11  5  |
| 13  4  | 17  9  | 16  6  |  7  3  | 12  5  |  1  2  | 15 11  | 10  8  | 14 18  |
| 16 17  | 13 18  | 10  5  |  1  6  |  3 11  | 15 12  | 14  8  |  7  9  |  2  4  |
----------------------------------------------------------------------------------------------------
