----------------------------------------------------------------------------------------------------
|  1 16  |  5 12  |  6 14  | 18  7  |  3  4  |  9 15  | 17 13  |  8 11  |  2 10  |
|  6 15  |  8 11  | 16  2  |  3  1  |  7  5  |  4 13  | 14  9  | 12 10  | 18 17  |
| 13 18  | 15  4  | 11 10  |  6  5  | 12 17  | 16 14  |  3  7  |  9  2  |  8  1  |
|  2  4  | 13  6  |  7 15  | 17 12  |  1 16  |  3  5  | 10  8  | 14 18  |  9 11  |
|  9 10  |  2 16  | 18  3  | 11 14  |  6 13  |  7  8  | 12  5  |  1 17  | 15  4  |
|  7 17  | 18  1  |  4  8  |  2 13  | 14  9  | 12 10  | 16 11  |  3 15  |  6  5  |
| 11 14  |  9 17  | 13  1  | 15 16  | 10  8  |  6  2  | 18  4  |  5  7  | 12  3  |
|  8 12  |  7  3  |  5 17  | 10  9  |  2 15  | 18 11  |  6  1  | 13  4  | 14 16  |
|  3  5  | 14 10  | 12  9  |  8  4  | 18 11  |  1 17  | 15  2  | 16  6  | 13  7  |
----------------------------------------------------------------------------------------------------
| 15 13  | 16 14  | 10  7  |  4 18  |  5  6  |  8  1  | 11 12  | 17  9  |  3  2  |
| 18  6  | 12 15  | 14 16  |  7  8  | 17  2  |  5  9  |  1 10  | 11  3  |  4 13  |
|  5  1  |  6 18  |  2 13  | 16 15  |  9 14  | 10  3  |  4 17  |  7 12  | 11  8  |
| 14  9  |  4  5  |  3 12  |  1 11  |  8  7  | 13  6  |  2 18  | 10 16  | 17 15  |
| 10  2  | 17  7  |  8  6  | 14  3  | 16 12  | 11 18  | 13 15  |  4  1  |  5  9  |
| 12  7  | 11  8  | 15  4  |  9  6  | 13 10  | 17 16  |  5  3  |  2 14  |  1 18  |
| 17 11  |  3  9  |  1  5  | 12 10  | 15 18  |  2  4  |  8 16  |  6 13  |  7 14  |
|  4  3  | 10 13  | 17 18  |  5  2  | 11  1  | 14  7  |  9  6  | 15  8  | 16 12  |
| 16  8  |  1  2  |  9 11  | 13 17  |  4  3  | 15 12  |  7 14  | 18  5  | 10  6  |
----------------------------------------------------------------------------------------------------
