----------------------------------------------------------------------------------------------------
|  4  1  |  7 13  | 15  5  | 16  8  | 18  2  | 11  9  | 17 12  |  6  3  | 14 10  |
|  7  9  | 10 12  |  8 14  |  6 13  | 11 16  |  3  4  | 15  1  |  2  5  | 17 18  |
| 18 13  |  4  9  | 12 16  |  5 10  |  8  3  | 15 17  |  2 14  |  1 11  |  6  7  |
| 14 12  |  5  6  |  4  2  | 17 15  | 10  1  | 16  8  |  9  3  |  7 18  | 11 13  |
| 15  8  | 17 11  | 13  3  | 12  9  |  4 14  | 18  2  |  7  6  | 10 16  |  1  5  |
| 16  6  | 15 14  |  7 10  |  3 11  | 13 17  | 12  1  | 18  5  |  9  4  |  2  8  |
|  5 10  | 16 18  |  9  6  |  1  2  | 15 12  | 13  7  | 11  8  | 17 14  |  3  4  |
| 17  2  |  1  3  | 18 11  |  7 14  |  9  6  | 10  5  | 16  4  |  8 13  | 12 15  |
| 11  3  |  8  2  | 17  1  |  4 18  |  7  5  | 14  6  | 13 10  | 12 15  |  9 16  |
----------------------------------------------------------------------------------------------------
|  6 11  | 14 16  |  2 12  | 18  7  | 17  9  |  5 13  | 10 15  |  3  8  |  4  1  |
| 12  7  |  2  5  |  6 17  | 13  1  | 14 10  |  8 18  |  4 16  | 11  9  | 15  3  |
| 13  4  |  3  1  |  5  7  | 14 17  |  6 18  |  9 11  |  8  2  | 15 10  | 16 12  |
|  9 14  | 13 15  |  3 18  |  8  5  |  2  4  | 17 10  |  1 11  | 16 12  |  7  6  |
| 10 17  | 18  7  |  1 13  | 11  6  | 16 15  |  4 12  |  3  9  |  5  2  |  8 14  |
|  3 16  | 12 17  | 14  8  |  2  4  |  1 11  |  6 15  |  5 13  | 18  7  | 10  9  |
|  1 18  | 11 10  | 16  9  | 15 12  |  5  8  |  2  3  | 14  7  |  4  6  | 13 17  |
|  2 15  |  6  8  | 10  4  |  9 16  |  3  7  |  1 14  | 12 18  | 13 17  |  5 11  |
|  8  5  |  9  4  | 11 15  | 10  3  | 12 13  |  7 16  |  6 17  | 14  1  | 18  2  |
----------------------------------------------------------------------------------------------------
