----------------------------------------------------------------------------------------------------
| 16  6  |  5 12  |  8  7  |  4 10  | 14 17  | 18 15  |  3  2  |  1  9  | 13 11  |
| 10 17  |  6  2  |  5  1  |  8 11  |  9  7  | 13  4  | 18 14  | 15  3  | 16 12  |
|  3  4  | 15 16  |  2 18  |  5  1  |  8 13  | 17  7  | 11  6  | 14 12  |  9 10  |
| 14 15  |  9  4  |  3 16  | 18  2  | 10 12  |  1  8  |  7 13  | 17 11  |  6  5  |
| 11 13  |  7 10  |  4  6  | 16  3  |  2 18  | 14 12  | 17  9  |  8  5  |  1 15  |
|  1 18  |  3 11  | 14 13  |  6  7  |  4  5  |  2  9  | 12 15  | 16 10  | 17  8  |
|  8  9  |  1 14  | 17 15  | 13 12  |  6 16  | 10 11  |  4  5  | 18  7  |  2  3  |
| 12  2  | 13 17  | 10  9  | 15 14  |  1 11  |  5  3  |  8 16  |  4  6  |  7 18  |
|  5  7  |  8 18  | 11 12  | 17  9  |  3 15  |  6 16  | 10  1  | 13  2  |  4 14  |
----------------------------------------------------------------------------------------------------
| 17  1  | 18  6  |  9  8  |  7 13  |  5  4  | 11  2  | 15  3  | 12 14  | 10 16  |
| 15 12  | 17  7  | 18  4  |  1 16  | 13  9  |  3 14  |  2 10  |  5  8  | 11  6  |
| 18 11  | 16 15  |  7  5  | 14 17  | 12 10  |  9  6  | 13  8  |  2  4  |  3  1  |
|  4  3  | 12  9  | 16  2  | 10 18  | 17  1  |  8  5  | 14 11  |  6 13  | 15  7  |
|  2 14  |  4  3  | 15 17  | 12  8  | 18  6  | 16 10  |  9  7  | 11  1  |  5 13  |
|  9 16  | 11 13  | 12 14  |  3  6  |  7  8  | 15  1  |  5  4  | 10 17  | 18  2  |
| 13 10  |  2  5  |  1 11  |  9  4  | 16 14  |  7 18  |  6 12  |  3 15  |  8 17  |
|  7  8  | 10  1  |  6  3  | 11  5  | 15  2  | 12 13  | 16 17  |  9 18  | 14  4  |
|  6  5  | 14  8  | 13 10  |  2 15  | 11  3  |  4 17  |  1 18  |  7 16  | 12  9  |
----------------------------------------------------------------------------------------------------
