----------------------------------------------------------------------------------------------------
|  3  5  | 10  7  | 18 17  |  8  4  |  9 16  | 14  2  | 13 15  | 12 11  |  1  6  |
|  2  8  |  4 15  | 12  7  | 18  3  | 10  5  |  9  1  | 16  6  | 13 14  | 11 17  |
| 14 17  |  5 13  |  6 16  |  1  2  | 18 15  | 10 11  |  9  7  |  4  8  | 12  3  |
|  6 12  |  8 14  |  5 15  |  9 11  |  1  2  | 13 18  | 10  4  | 17  3  | 16  7  |
|  7 16  |  3 12  | 13  8  | 15 10  |  6 14  |  5  4  | 11 17  |  9  1  | 18  2  |
| 11 15  |  2 17  |  3  1  | 12  5  |  4 13  |  6  8  | 18 14  | 16  7  |  9 10  |
| 13  4  | 11  6  |  2  9  | 17 16  |  3 12  | 15  7  |  5  1  | 18 10  | 14  8  |
| 18  1  | 16  9  | 11 10  |  6 14  |  8  7  |  3 17  |  2 12  | 15  5  |  4 13  |
| 10  9  |  1 18  |  4 14  | 13  7  | 17 11  | 16 12  |  3  8  |  2  6  | 15  5  |
----------------------------------------------------------------------------------------------------
|  1 18  |  6 10  |  7 11  |  5 13  | 16  4  | 17 15  | 12  2  |  3  9  |  8 14  |
|  4 11  | 18  5  |  1  6  |  3 15  |  7 10  | 12 14  | 17 16  |  8  2  | 13  9  |
| 16 13  | 12 11  | 17 18  |  4  8  |  2  9  |  7  3  |  6 10  | 14 15  |  5  1  |
| 12 14  | 13 16  | 10  5  |  7 17  | 11 18  |  2  9  |  8  3  |  1  4  |  6 15  |
|  5  6  | 14  1  | 16  3  | 10 18  | 12  8  |  4 13  | 15  9  |  7 17  |  2 11  |
|  9  3  |  7  4  | 14 13  |  2 12  | 15 17  |  8  6  |  1 11  |  5 18  | 10 16  |
| 17  2  |  9  8  | 15  4  | 16  6  |  5  3  |  1 10  | 14 13  | 11 12  |  7 18  |
|  8  7  | 15  3  |  9  2  | 14  1  | 13  6  | 11  5  |  4 18  | 10 16  | 17 12  |
| 15 10  | 17  2  |  8 12  | 11  9  | 14  1  | 18 16  |  7  5  |  6 13  |  3  4  |
----------------------------------------------------------------------------------------------------
