----------------------------------------------------------------------------------------------------
|  9  7  |  5 12  | 18  2  |  3  1  | 15  6  | 13 11  | 10 16  | 14 17  |  8  4  |
|  1  8  |  2  7  | 15 10  | 16  6  | 18 17  |  5  3  | 13 11  |  9  4  | 14 12  |
|  5 14  |  8 16  | 11  1  |  2 10  |  7 12  | 18 15  |  4  9  | 13  3  | 17  6  |
| 15  4  | 18 10  |  8  7  |  5 17  |  1 14  | 12  2  |  3  6  | 16 11  |  9 13  |
| 18 11  |  6  9  | 13 14  |  7  8  |  3  2  |  4 16  |  5 17  | 10 12  | 15  1  |
|  3  2  | 14  1  |  5 17  | 15  9  | 13  4  |  6 10  | 12 18  |  8  7  | 11 16  |
| 16 12  |  4 13  |  9  6  | 14 18  | 10 11  |  1 17  | 15  8  |  5  2  |  3  7  |
| 10 13  | 15 17  |  3  4  | 11 12  |  5 16  |  8  9  | 14  7  |  6  1  |  2 18  |
| 17  6  |  3 11  | 12 16  | 13  4  |  8  9  |  7 14  |  1  2  | 18 15  | 10  5  |
----------------------------------------------------------------------------------------------------
| 14 15  | 13  8  | 16 11  |  6  7  |  9 10  | 17  4  | 18  1  |  3  5  | 12  2  |
|  4  3  |  9 18  |  1  8  | 12 16  | 14 15  |  2 13  | 11  5  |  7 10  |  6 17  |
|  2  9  | 12  6  | 14  3  |  8 15  | 17  1  | 10  5  | 16 13  |  4 18  |  7 11  |
| 11 10  |  1  3  |  6 12  |  9 14  |  4  7  | 16 18  | 17 15  |  2 13  |  5  8  |
| 12  1  | 11 15  | 10 18  |  4  5  |  2 13  | 14  7  |  6  3  | 17  8  | 16  9  |
| 13 16  | 10  2  |  4 15  | 17 11  |  6  5  |  9  8  |  7 12  |  1 14  | 18  3  |
|  6  5  |  7 14  | 17 13  | 18  3  | 16  8  | 15 12  |  2  4  | 11  9  |  1 10  |
|  8 17  | 16  4  |  7  5  | 10  2  | 11 18  |  3  1  |  9 14  | 12  6  | 13 15  |
|  7 18  | 17  5  |  2  9  |  1 13  | 12  3  | 11  6  |  8 10  | 15 16  |  4 14  |
----------------------------------------------------------------------------------------------------
