----------------------------------------------------------------------------------------------------
|  5  1  | 17  7  | 16  6  | 18  3  | 14 10  |  8  9  | 12  4  | 11 15  | 13  2  |
| 10  6  |  1 15  |  7  8  |  2 11  |  3 17  |  5 13  | 16 14  | 12  4  | 18  9  |
|  3 13  |  2  6  |  1 18  |  5  9  |  8 11  | 17 10  |  7 15  | 16 14  | 12  4  |
|  7 11  |  5  4  |  3 15  |  6 16  | 13  2  | 18 12  | 10  8  |  9 17  | 14  1  |
| 15 18  |  8  9  |  2  5  |  7 13  |  6 12  |  4 14  | 17 11  | 10  1  |  3 16  |
| 16  4  | 13  3  | 17 11  | 14 12  | 15  7  |  6  2  |  9  1  | 18  8  | 10  5  |
|  8  9  | 16 14  | 13 12  | 10 17  |  5  4  | 11  1  |  2 18  |  7  3  | 15  6  |
| 17 12  | 18 10  | 14  9  |  4 15  | 16  1  |  3  7  | 13  6  |  5  2  | 11  8  |
|  2 14  | 11 12  | 10  4  |  1  8  |  9 18  | 16 15  |  5  3  | 13  6  | 17  7  |
----------------------------------------------------------------------------------------------------
| 14  3  |  4  8  | 11  1  | 17  6  |  7  5  | 15 16  | 18 10  |  2 13  |  9 12  |
| 13  2  |  6  1  |  8  7  | 16 18  | 17  9  | 12 11  | 15  5  | 14 10  |  4  3  |
|  6  7  |  3 17  |  5 10  | 15  1  | 12 16  | 13  4  | 11  9  |  8 18  |  2 14  |
|  1 15  | 12 13  | 18 16  | 11  5  |  2  8  | 14  6  |  4 17  |  3  9  |  7 10  |
|  9 10  |  7 16  |  6  3  | 12  4  |  1 14  |  2 18  |  8 13  | 17 11  |  5 15  |
| 12 16  | 15 18  |  4  2  |  3 10  | 11  6  |  9 17  | 14  7  |  1  5  |  8 13  |
| 18 17  |  9  2  | 15 13  |  8 14  | 10  3  |  1  5  |  6 12  |  4  7  | 16 11  |
|  4  5  | 10 11  |  9 14  | 13  2  | 18 15  |  7  8  |  3 16  |  6 12  |  1 17  |
| 11  8  | 14  5  | 12 17  |  9  7  |  4 13  | 10  3  |  1  2  | 15 16  |  6 18  |
----------------------------------------------------------------------------------------------------
