-------------------------------------------------------------------------------------------
|  9  |  4  | 10  |  2  |  8  |  6  |  7  |  3  |  1  |  5  |
|  5  |  2  |  8  | 10  |  6  |  7  |  4  |  9  |  3  |  1  |
|  4  | 10  |  9  |  1  |  7  |  3  |  2  |  8  |  5  |  6  |
|  3  |  7  |  6  |  4  | 10  |  1  |  5  |  2  |  8  |  9  |
|  7  |  3  |  4  |  6  |  2  |  9  |  1  |  5  | 10  |  8  |
|  6  |  8  |  5  |  9  |  4  | 10  |  3  |  1  |  7  |  2  |
|  2  |  9  |  7  |  5  |  1  |  8  |  6  | 10  |  4  |  3  |
| 10  |  5  |  1  |  8  |  3  |  4  |  9  |  6  |  2  |  7  |
|  8  |  1  |  2  |  3  |  9  |  5  | 10  |  7  |  6  |  4  |
|  1  |  6  |  3  |  7  |  5  |  2  |  8  |  4  |  9  | 10  |
-------------------------------------------------------------------------------------------
