-------------------------------------------------------------------------------------------
|  7  |  9  |  1  | 10  |  6  |  2  |  5  |  8  |  3  |  4  |
|  2  |  4  |  9  |  3  |  5  | 10  |  7  |  6  |  1  |  8  |
|  6  |  1  |  7  |  5  |  8  |  3  |  9  |  4  | 10  |  2  |
|  9  |  2  |  8  |  7  |  3  |  5  |  6  |  1  |  4  | 10  |
|  4  |  6  |  3  |  9  | 10  |  7  |  2  |  5  |  8  |  1  |
|  5  | 10  |  6  |  2  |  4  |  1  |  8  |  7  |  9  |  3  |
|  3  |  5  |  4  |  1  |  9  |  8  | 10  |  2  |  7  |  6  |
|  1  |  3  |  5  |  8  |  2  |  9  |  4  | 10  |  6  |  7  |
|  8  |  7  | 10  |  6  |  1  |  4  |  3  |  9  |  2  |  5  |
| 10  |  8  |  2  |  4  |  7  |  6  |  1  |  3  |  5  |  9  |
-------------------------------------------------------------------------------------------
