-------------------------------------------------------------------------------------------
|  1  |  5  |  8  |  4  |  7  |  3  |  6  | 10  |  9  |  2  |
|  9  | 10  |  5  |  6  |  4  |  7  |  2  |  8  |  1  |  3  |
|  4  |  6  |  3  | 10  |  5  |  1  |  8  |  2  |  7  |  9  |
| 10  |  3  |  6  |  2  |  9  |  4  |  1  |  5  |  8  |  7  |
|  8  |  1  |  2  |  5  |  6  |  9  |  3  |  7  | 10  |  4  |
|  7  |  9  | 10  |  1  |  8  |  2  |  5  |  3  |  4  |  6  |
|  2  |  4  |  9  |  3  | 10  |  5  |  7  |  1  |  6  |  8  |
|  6  |  7  |  1  |  8  |  3  | 10  |  9  |  4  |  2  |  5  |
|  3  |  2  |  7  |  9  |  1  |  8  |  4  |  6  |  5  | 10  |
|  5  |  8  |  4  |  7  |  2  |  6  | 10  |  9  |  3  |  1  |
-------------------------------------------------------------------------------------------
