-------------------------------------------------------------------------------------------
|  7  |  8  |  9  |  3  |  5  |  2  |  4  |  1  | 10  |  6  |
|  2  |  6  |  5  |  1  |  8  |  3  |  9  |  7  |  4  | 10  |
|  8  |  1  |  6  |  2  | 10  |  5  |  7  |  9  |  3  |  4  |
|  5  |  7  | 10  |  4  |  1  |  9  |  2  |  3  |  6  |  8  |
| 10  |  5  |  1  |  8  |  6  |  7  |  3  |  4  |  2  |  9  |
|  9  |  2  |  3  |  6  |  4  | 10  |  1  |  5  |  8  |  7  |
|  4  |  9  |  7  | 10  |  3  |  8  |  5  |  6  |  1  |  2  |
|  6  |  3  |  2  |  7  |  9  |  4  |  8  | 10  |  5  |  1  |
|  3  | 10  |  4  |  9  |  2  |  1  |  6  |  8  |  7  |  5  |
|  1  |  4  |  8  |  5  |  7  |  6  | 10  |  2  |  9  |  3  |
-------------------------------------------------------------------------------------------
