-------------------------------------------------------------------------------------------
|  6  |  4  | 10  |  3  |  9  |  5  |  7  |  1  |  8  |  2  |
|  3  |  2  |  5  | 10  |  8  |  1  |  9  |  7  |  6  |  4  |
|  1  | 10  |  3  |  7  |  2  |  8  |  6  |  9  |  4  |  5  |
| 10  |  7  |  4  |  9  |  3  |  6  |  8  |  5  |  2  |  1  |
|  4  |  8  |  1  |  5  |  7  | 10  |  3  |  2  |  9  |  6  |
|  8  |  3  |  2  |  4  |  5  |  9  |  1  |  6  | 10  |  7  |
|  9  |  6  |  8  |  2  |  1  |  3  |  5  |  4  |  7  | 10  |
|  5  |  9  |  6  |  8  |  4  |  7  |  2  | 10  |  1  |  3  |
|  2  |  5  |  7  |  1  |  6  |  4  | 10  |  8  |  3  |  9  |
|  7  |  1  |  9  |  6  | 10  |  2  |  4  |  3  |  5  |  8  |
-------------------------------------------------------------------------------------------
