-------------------------------------------------------------------------------------------
|  6  |  1  |  3  |  2  |  5  | 10  |  8  |  9  |  7  |  4  |
| 10  |  9  |  2  |  1  |  6  |  5  |  4  |  8  |  3  |  7  |
|  4  |  3  |  6  | 10  |  9  |  2  |  5  |  7  |  8  |  1  |
|  9  |  2  |  7  |  5  |  1  |  6  | 10  |  3  |  4  |  8  |
|  1  | 10  |  9  |  6  |  7  |  8  |  3  |  4  |  2  |  5  |
|  7  |  5  | 10  |  4  |  8  |  3  |  6  |  1  |  9  |  2  |
|  5  |  6  |  8  |  7  | 10  |  4  |  9  |  2  |  1  |  3  |
|  8  |  4  |  5  |  3  |  2  |  1  |  7  | 10  |  6  |  9  |
|  2  |  8  |  4  |  9  |  3  |  7  |  1  |  5  | 10  |  6  |
|  3  |  7  |  1  |  8  |  4  |  9  |  2  |  6  |  5  | 10  |
-------------------------------------------------------------------------------------------
