-------------------------------------------------------------------------------------------
|  4  |  1  |  2  |  9  |  6  |  5  |  3  | 10  |  7  |  8  |
|  1  | 10  |  7  |  2  |  4  |  3  |  8  |  6  |  5  |  9  |
|  9  |  8  |  6  | 10  |  3  |  4  |  5  |  2  |  1  |  7  |
|  3  |  9  |  4  |  1  |  2  |  8  |  7  |  5  |  6  | 10  |
|  7  |  3  | 10  |  4  |  1  |  9  |  6  |  8  |  2  |  5  |
|  2  |  7  |  9  |  6  |  5  |  1  | 10  |  3  |  8  |  4  |
|  8  |  5  |  1  |  3  |  9  | 10  |  2  |  7  |  4  |  6  |
|  5  |  2  |  8  |  7  | 10  |  6  |  4  |  1  |  9  |  3  |
| 10  |  6  |  5  |  8  |  7  |  2  |  9  |  4  |  3  |  1  |
|  6  |  4  |  3  |  5  |  8  |  7  |  1  |  9  | 10  |  2  |
-------------------------------------------------------------------------------------------
