-------------------------------------------------------------------------------------------
|  1  |  3  |  2  |  9  |  7  |  5  | 10  |  4  |  6  |  8  |
|  4  |  5  |  3  |  2  |  9  |  8  |  7  |  1  | 10  |  6  |
|  6  |  8  |  5  |  3  |  4  |  7  |  2  | 10  |  1  |  9  |
| 10  |  9  |  7  |  4  |  3  |  6  |  8  |  5  |  2  |  1  |
|  3  |  2  |  8  |  1  |  6  |  9  |  4  |  7  |  5  | 10  |
|  7  |  4  |  9  |  8  |  5  | 10  |  1  |  6  |  3  |  2  |
|  8  |  7  |  1  |  5  | 10  |  3  |  6  |  2  |  9  |  4  |
|  9  |  6  |  4  | 10  |  2  |  1  |  3  |  8  |  7  |  5  |
|  2  | 10  |  6  |  7  |  1  |  4  |  5  |  9  |  8  |  3  |
|  5  |  1  | 10  |  6  |  8  |  2  |  9  |  3  |  4  |  7  |
-------------------------------------------------------------------------------------------
