-------------------------------------------------------------------------------------------
|  7  |  4  |  3  |  8  |  1  | 10  |  5  |  9  |  6  |  2  |
|  4  |  9  |  5  |  3  |  6  |  2  |  8  |  7  |  1  | 10  |
|  3  |  2  |  6  |  1  |  8  |  4  | 10  |  5  |  7  |  9  |
| 10  |  3  |  9  |  7  |  4  |  1  |  2  |  8  |  5  |  6  |
|  6  |  5  |  4  |  2  |  3  |  8  |  1  | 10  |  9  |  7  |
|  2  | 10  |  8  |  4  |  5  |  7  |  9  |  6  |  3  |  1  |
|  9  |  7  |  2  |  6  | 10  |  3  |  4  |  1  |  8  |  5  |
|  8  |  6  |  1  |  9  |  7  |  5  |  3  |  2  | 10  |  4  |
|  5  |  1  |  7  | 10  |  2  |  9  |  6  |  3  |  4  |  8  |
|  1  |  8  | 10  |  5  |  9  |  6  |  7  |  4  |  2  |  3  |
-------------------------------------------------------------------------------------------
