-------------------------------------------------------------------------------------------
|  4  |  3  |  2  | 10  |  7  |  5  |  8  |  9  |  6  |  1  |
|  2  |  4  |  3  |  7  | 10  |  9  |  1  |  8  |  5  |  6  |
|  9  |  8  |  4  |  3  |  2  |  6  |  5  |  1  | 10  |  7  |
|  6  |  7  | 10  |  4  |  3  |  1  |  9  |  2  |  8  |  5  |
| 10  |  2  |  1  |  5  |  4  |  3  |  7  |  6  |  9  |  8  |
|  1  |  9  |  7  |  2  |  8  |  4  |  6  |  5  |  3  | 10  |
|  8  | 10  |  9  |  6  |  5  |  7  |  4  |  3  |  1  |  2  |
|  5  |  1  |  6  |  8  |  9  | 10  |  3  |  7  |  2  |  4  |
|  7  |  6  |  5  |  9  |  1  |  8  |  2  | 10  |  4  |  3  |
|  3  |  5  |  8  |  1  |  6  |  2  | 10  |  4  |  7  |  9  |
-------------------------------------------------------------------------------------------
